N_PROF,N_LEVELS,CYCLE_NUMBER,DATA_MODE,DIRECTION,PLATFORM_NUMBER,POSITION_QC,PRES,PRES_ERROR,PRES_QC,PSAL,PSAL_ERROR,PSAL_QC,TEMP,TEMP_ERROR,TEMP_QC,TIME_QC,LATITUDE,LONGITUDE,TIME
43,0,44,D,A,2902280,1,4.0,2.4,1,31.58772,0.01,1,27.259,0.002,1,1,15.869,92.396,2020-01-01 13:50:00
43,1,44,D,A,2902280,1,5.0,2.4,1,31.58862,0.01,1,27.258,0.002,1,1,15.869,92.396,2020-01-01 13:50:00
43,2,44,D,A,2902280,1,,2.4,1,,,1,,0.002,1,1,15.869,92.396,2020-01-01 13:50:00
43,3,44,D,A,2902280,1,,2.4,1,,,1,,0.002,1,1,15.869,92.396,2020-01-01 13:50:00
43,4,44,D,A,2902280,1,,2.4,1,,,1,,0.002,1,1,15.869,92.396,2020-01-01 13:50:00
43,5,44,D,A,2902280,1,,2.4,1,,,1,,0.002,1,1,15.869,92.396,2020-01-01 13:50:00
50,0,44,D,A,2902282,1,4.0,2.4,1,30.16302,0.01,1,25.646,0.002,1,1,16.832,89.402,2020-01-01 14:03:00
50,1,44,D,A,2902282,1,5.0,2.4,1,30.16089,0.01,1,25.645,0.002,1,1,16.832,89.402,2020-01-01 14:03:00
50,2,44,D,A,2902282,1,,2.4,1,,,1,,0.002,1,1,16.832,89.402,2020-01-01 14:03:00
50,3,44,D,A,2902282,1,,2.4,1,,,1,,0.002,1,1,16.832,89.402,2020-01-01 14:03:00
50,4,44,D,A,2902282,1,,2.4,1,,,1,,0.002,1,1,16.832,89.402,2020-01-01 14:03:00
50,5,44,D,A,2902282,1,,2.4,1,,,1,,0.002,1,1,16.832,89.402,2020-01-01 14:03:00
79,0,3,A,A,2902764,1,0.2,,1,33.302,,1,28.479,,1,1,5.665,89.637,2020-01-02 05:38:10
79,1,3,A,A,2902764,1,1.2,,1,33.308,,1,28.475,,1,1,5.665,89.637,2020-01-02 05:38:10
79,2,3,A,A,2902764,1,2.2,,1,33.309,,1,28.476,,1,1,5.665,89.637,2020-01-02 05:38:10
79,3,3,A,A,2902764,1,3.2,,1,33.307,,1,28.477,,1,1,5.665,89.637,2020-01-02 05:38:10
79,4,3,A,A,2902764,1,4.3,,1,33.311,,1,28.47,,1,1,5.665,89.637,2020-01-02 05:38:10
79,5,3,A,A,2902764,1,,,1,,,1,,,1,1,5.665,89.637,2020-01-02 05:38:10
57,0,44,R,A,2902283,1,2.0,,1,33.702,,1,28.204,,1,1,13.823,87.733,2020-01-02 14:08:00
57,1,44,R,A,2902283,1,3.0,,1,33.7,,1,28.208,,1,1,13.823,87.733,2020-01-02 14:08:00
57,2,44,R,A,2902283,1,4.0,,1,33.703,,1,28.205,,1,1,13.823,87.733,2020-01-02 14:08:00
57,3,44,R,A,2902283,1,5.0,,1,33.701,,1,28.21,,1,1,13.823,87.733,2020-01-02 14:08:00
57,4,44,R,A,2902283,1,,,1,,,1,,,1,1,13.823,87.733,2020-01-02 14:08:00
57,5,44,R,A,2902283,1,,,1,,,1,,,1,1,13.823,87.733,2020-01-02 14:08:00
72,0,205,D,A,2902596,1,1.0,2.4,1,32.38631,0.01,1,27.743,0.002,1,1,13.506,89.154,2020-01-03 00:04:44
72,1,205,D,A,2902596,1,2.0,2.4,1,32.38515,0.01,1,27.744,0.002,1,1,13.506,89.154,2020-01-03 00:04:44
72,2,205,D,A,2902596,1,3.0,2.4,1,32.3973,0.01,1,27.749,0.002,1,1,13.506,89.154,2020-01-03 00:04:44
72,3,205,D,A,2902596,1,4.0,2.4,1,32.39632,0.01,1,27.751,0.002,1,1,13.506,89.154,2020-01-03 00:04:44
72,4,205,D,A,2902596,1,5.0,2.4,1,32.39742,0.01,1,27.753,0.002,1,1,13.506,89.154,2020-01-03 00:04:44
72,5,205,D,A,2902596,1,,2.4,1,,,1,,0.002,1,1,13.506,89.154,2020-01-03 00:04:44
9,0,280,A,A,2902230,1,0.2,,1,33.549,,1,27.829,,1,1,12.783333333333333,85.23333333333333,2020-01-03 04:11:58
9,1,280,A,A,2902230,1,0.9,,1,33.547,,1,27.829,,1,1,12.783333333333333,85.23333333333333,2020-01-03 04:11:58
9,2,280,A,A,2902230,1,1.9,,1,33.548,,1,27.825,,1,1,12.783333333333333,85.23333333333333,2020-01-03 04:11:58
9,3,280,A,A,2902230,1,2.8,,1,33.549,,1,27.822,,1,1,12.783333333333333,85.23333333333333,2020-01-03 04:11:58
9,4,280,A,A,2902230,1,3.7,,1,33.551,,1,27.819,,1,1,12.783333333333333,85.23333333333333,2020-01-03 04:11:58
9,5,280,A,A,2902230,1,4.9,,1,33.552,,1,27.82,,1,1,12.783333333333333,85.23333333333333,2020-01-03 04:11:58
21,0,279,A,A,2902235,1,0.2,,1,30.87824,,1,28.794,,1,1,13.616666666666667,92.25,2020-01-04 04:25:26
21,1,279,A,A,2902235,1,0.9,,1,30.88623,,1,28.768,,1,1,13.616666666666667,92.25,2020-01-04 04:25:26
21,2,279,A,A,2902235,1,2.4,,1,30.89123,,1,28.738,,1,1,13.616666666666667,92.25,2020-01-04 04:25:26
21,3,279,A,A,2902235,1,3.4,,1,30.89622,,1,28.715,,1,1,13.616666666666667,92.25,2020-01-04 04:25:26
21,4,279,A,A,2902235,1,4.4,,1,30.90221,,1,28.703,,1,1,13.616666666666667,92.25,2020-01-04 04:25:26
21,5,279,A,A,2902235,1,,,1,,,1,,,1,1,13.616666666666667,92.25,2020-01-04 04:25:26
15,0,279,A,A,2902234,1,0.2,,1,31.714,,1,26.528,,1,1,14.616666666666667,85.38333333333334,2020-01-04 04:29:13
15,1,279,A,A,2902234,1,0.7,,1,31.704,,1,26.465,,1,1,14.616666666666667,85.38333333333334,2020-01-04 04:29:13
15,2,279,A,A,2902234,1,2.0,,1,31.778,,1,26.34,,1,1,14.616666666666667,85.38333333333334,2020-01-04 04:29:13
15,3,279,A,A,2902234,1,2.9,,1,31.786,,1,26.324,,1,1,14.616666666666667,85.38333333333334,2020-01-04 04:29:13
15,4,279,A,A,2902234,1,3.9,,1,31.79,,1,26.315,,1,1,14.616666666666667,85.38333333333334,2020-01-04 04:29:13
15,5,279,A,A,2902234,1,5.0,,1,31.791,,1,26.297,,1,1,14.616666666666667,85.38333333333334,2020-01-04 04:29:13
0,0,199,D,A,2901892,1,3.53,2.4,1,32.86123,0.01006,1,28.573,0.002,1,1,9.595,88.598,2020-01-04 09:23:02
0,1,199,D,A,2901892,1,,2.4,1,,,1,,0.002,1,1,9.595,88.598,2020-01-04 09:23:02
0,2,199,D,A,2901892,1,,2.4,1,,,1,,0.002,1,1,9.595,88.598,2020-01-04 09:23:02
0,3,199,D,A,2901892,1,,2.4,1,,,1,,0.002,1,1,9.595,88.598,2020-01-04 09:23:02
0,4,199,D,A,2901892,1,,2.4,1,,,1,,0.002,1,1,9.595,88.598,2020-01-04 09:23:02
0,5,199,D,A,2901892,1,,2.4,1,,,1,,0.002,1,1,9.595,88.598,2020-01-04 09:23:02
63,0,300,D,A,2902285,1,4.0,2.4,1,32.2277,0.02,1,26.547,0.002,1,1,14.574,84.878,2020-01-04 14:10:57
63,1,300,D,A,2902285,1,5.0,2.4,1,32.23632,0.02,1,26.527,0.002,1,1,14.574,84.878,2020-01-04 14:10:57
63,2,300,D,A,2902285,1,,2.4,1,,,1,,0.002,1,1,14.574,84.878,2020-01-04 14:10:57
63,3,300,D,A,2902285,1,,2.4,1,,,1,,0.002,1,1,14.574,84.878,2020-01-04 14:10:57
63,4,300,D,A,2902285,1,,2.4,1,,,1,,0.002,1,1,14.574,84.878,2020-01-04 14:10:57
63,5,300,D,A,2902285,1,,2.4,1,,,1,,0.002,1,1,14.574,84.878,2020-01-04 14:10:57
27,0,186,A,A,2902236,1,0.3,,1,33.502,,1,26.744,,1,1,16.816666666666666,85.4,2020-01-05 01:06:00
27,1,186,A,A,2902236,1,0.8,,1,33.5,,1,26.746,,1,1,16.816666666666666,85.4,2020-01-05 01:06:00
27,2,186,A,A,2902236,1,1.9,,1,33.5,,1,26.748,,1,1,16.816666666666666,85.4,2020-01-05 01:06:00
27,3,186,A,A,2902236,1,3.0,,1,33.495,,1,26.754,,1,1,16.816666666666666,85.4,2020-01-05 01:06:00
27,4,186,A,A,2902236,1,4.0,,1,33.499,,1,26.746,,1,1,16.816666666666666,85.4,2020-01-05 01:06:00
27,5,186,A,A,2902236,1,,,1,,,1,,,1,1,16.816666666666666,85.4,2020-01-05 01:06:00
38,0,45,D,A,2902279,1,4.0,2.4,1,28.62681,0.01,1,24.341,0.002,1,1,18.183,91.177,2020-01-05 14:12:01
38,1,45,D,A,2902279,1,5.0,2.4,1,28.62684,0.01,1,24.341,0.002,1,1,18.183,91.177,2020-01-05 14:12:01
38,2,45,D,A,2902279,1,,2.4,1,,,1,,0.002,1,1,18.183,91.177,2020-01-05 14:12:01
38,3,45,D,A,2902279,1,,2.4,1,,,1,,0.002,1,1,18.183,91.177,2020-01-05 14:12:01
38,4,45,D,A,2902279,1,,2.4,1,,,1,,0.002,1,1,18.183,91.177,2020-01-05 14:12:01
38,5,45,D,A,2902279,1,,2.4,1,,,1,,0.002,1,1,18.183,91.177,2020-01-05 14:12:01
33,0,45,D,A,2902278,1,4.0,2.4,1,29.79192,0.01,1,25.302,0.002,1,1,17.441,91.609,2020-01-05 14:34:26
33,1,45,D,A,2902278,1,5.0,2.4,1,29.79389,0.01,1,25.305,0.002,1,1,17.441,91.609,2020-01-05 14:34:26
33,2,45,D,A,2902278,1,,2.4,1,,,1,,0.002,1,1,17.441,91.609,2020-01-05 14:34:26
33,3,45,D,A,2902278,1,,2.4,1,,,1,,0.002,1,1,17.441,91.609,2020-01-05 14:34:26
33,4,45,D,A,2902278,1,,2.4,1,,,1,,0.002,1,1,17.441,91.609,2020-01-05 14:34:26
33,5,45,D,A,2902278,1,,2.4,1,,,1,,0.002,1,1,17.441,91.609,2020-01-05 14:34:26
69,0,153,D,A,2902394,1,1.08,2.4,1,33.84,0.01,1,28.817,0.002,1,1,5.02675,80.74952,2020-01-05 20:08:18
69,1,153,D,A,2902394,1,1.92,2.4,1,33.841,0.01,1,28.816,0.002,1,1,5.02675,80.74952,2020-01-05 20:08:18
69,2,153,D,A,2902394,1,2.96,2.4,1,33.841,0.01,1,28.814,0.002,1,1,5.02675,80.74952,2020-01-05 20:08:18
69,3,153,D,A,2902394,1,4.0,2.4,1,33.84,0.01,1,28.815,0.002,1,1,5.02675,80.74952,2020-01-05 20:08:18
69,4,153,D,A,2902394,1,,2.4,1,,,1,,0.002,1,1,5.02675,80.74952,2020-01-05 20:08:18
69,5,153,D,A,2902394,1,,2.4,1,,,1,,0.002,1,1,5.02675,80.74952,2020-01-05 20:08:18
