N_PROF,N_LEVELS,CYCLE_NUMBER,DATA_MODE,DIRECTION,PLATFORM_NUMBER,POSITION_QC,PRES,PRES_ERROR,PRES_QC,PSAL,PSAL_ERROR,PSAL_QC,TEMP,TEMP_ERROR,TEMP_QC,TIME_QC,LATITUDE,LONGITUDE,TIME
44,0,131,D,A,2902768,1,0.1,2.4,1,33.25079,0.01,1,29.444,0.002,1,1,13.488,84.658,2023-09-05 01:33:26
44,1,131,D,A,2902768,1,1.1,2.4,1,33.23996,0.01,1,29.448,0.002,1,1,13.488,84.658,2023-09-05 01:33:26
44,2,131,D,A,2902768,1,2.0,2.4,1,33.25005,0.01,1,29.449,0.002,1,1,13.488,84.658,2023-09-05 01:33:26
44,3,131,D,A,2902768,1,3.1,2.4,1,33.25025,0.01,1,29.449,0.002,1,1,13.488,84.658,2023-09-05 01:33:26
44,4,131,D,A,2902768,1,4.4,2.4,1,33.25064,0.01,1,29.442,0.002,1,1,13.488,84.658,2023-09-05 01:33:26
44,5,131,D,A,2902768,1,5.7,2.4,1,33.2509,0.01,1,29.45,0.002,1,1,13.488,84.658,2023-09-05 01:33:26
44,6,131,D,A,2902768,1,6.9,2.4,1,33.25097,0.01,1,29.452,0.002,1,1,13.488,84.658,2023-09-05 01:33:26
44,7,131,D,A,2902768,1,8.3,2.4,1,33.25112,0.01,1,29.453,0.002,1,1,13.488,84.658,2023-09-05 01:33:26
44,8,131,D,A,2902768,1,9.6,2.4,1,33.25095,0.01,1,29.45,0.002,1,1,13.488,84.658,2023-09-05 01:33:26
44,9,131,D,A,2902768,1,15.1,2.4,1,33.25,0.01,1,29.454,0.002,1,1,13.488,84.658,2023-09-05 01:33:26
44,10,131,D,A,2902768,1,25.1,2.4,1,33.25092,0.01,1,29.454,0.002,1,1,13.488,84.658,2023-09-05 01:33:26
44,11,131,D,A,2902768,1,35.5,2.4,1,33.2611,0.01,1,29.467,0.002,1,1,13.488,84.658,2023-09-05 01:33:26
44,12,131,D,A,2902768,1,45.5,2.4,1,33.45946,0.01,1,29.298,0.002,1,1,13.488,84.658,2023-09-05 01:33:26
44,13,131,D,A,2902768,1,55.9,2.4,1,33.63879,0.01467,1,28.591,0.002,1,1,13.488,84.658,2023-09-05 01:33:26
44,14,131,D,A,2902768,1,65.2,2.4,1,33.99663,0.01,1,26.666,0.002,1,1,13.488,84.658,2023-09-05 01:33:26
44,15,131,D,A,2902768,1,75.4,2.4,1,34.20767,0.01362,1,25.689,0.002,1,1,13.488,84.658,2023-09-05 01:33:26
44,16,131,D,A,2902768,1,85.6,2.4,1,34.4967,0.01272,1,23.857,0.002,1,1,13.488,84.658,2023-09-05 01:33:26
44,17,131,D,A,2902768,1,94.9,2.4,1,34.61783,0.01284,1,22.367,0.002,1,1,13.488,84.658,2023-09-05 01:33:26
44,18,131,D,A,2902768,1,105.0,2.4,1,34.7418,0.01,1,20.771,0.002,1,1,13.488,84.658,2023-09-05 01:33:26
44,19,131,D,A,2902768,1,115.5,2.4,1,34.81596,0.01026,1,19.706,0.002,1,1,13.488,84.658,2023-09-05 01:33:26
44,20,131,D,A,2902768,1,125.0,2.4,1,34.83957,0.01,1,18.619,0.002,1,1,13.488,84.658,2023-09-05 01:33:26
44,21,131,D,A,2902768,1,135.3,2.4,1,34.84681,0.01,1,17.64,0.002,1,1,13.488,84.658,2023-09-05 01:33:26
44,22,131,D,A,2902768,1,145.2,2.4,1,34.89044,0.01,1,16.805,0.002,1,1,13.488,84.658,2023-09-05 01:33:26
