N_PROF,N_LEVELS,CYCLE_NUMBER,DATA_MODE,DIRECTION,PLATFORM_NUMBER,POSITION_QC,PRES,PRES_ERROR,PRES_QC,PSAL,PSAL_ERROR,PSAL_QC,TEMP,TEMP_ERROR,TEMP_QC,TIME_QC,LATITUDE,LONGITUDE,TIME
30,0,2,R,A,2903891,1,0.1,,1,32.867,,1,28.678,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,1,2,R,A,2903891,1,0.8,,1,32.87,,1,28.681,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,2,2,R,A,2903891,1,2.0,,1,32.872,,1,28.681,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,3,2,R,A,2903891,1,2.7,,1,32.872,,1,28.681,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,4,2,R,A,2903891,1,3.5,,1,32.872,,1,28.681,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,5,2,R,A,2903891,1,4.9,,1,32.873,,1,28.68,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,6,2,R,A,2903891,1,6.3,,1,32.872,,1,28.681,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,7,2,R,A,2903891,1,7.2,,1,32.873,,1,28.681,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,8,2,R,A,2903891,1,8.2,,1,32.872,,1,28.684,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,9,2,R,A,2903891,1,9.2,,1,32.873,,1,28.681,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,10,2,R,A,2903891,1,10.1,,1,32.873,,1,28.681,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,11,2,R,A,2903891,1,15.6,,1,32.873,,1,28.682,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,12,2,R,A,2903891,1,25.8,,1,32.875,,1,28.687,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,13,2,R,A,2903891,1,35.3,,1,32.915,,1,28.717,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,14,2,R,A,2903891,1,45.7,,1,33.425,,1,28.915,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,15,2,R,A,2903891,1,55.2,,1,34.427,,1,26.632,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,16,2,R,A,2903891,1,65.3,,1,34.563,,1,24.912,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,17,2,R,A,2903891,1,75.5,,1,34.681,,1,23.929,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,18,2,R,A,2903891,1,85.2,,1,34.658,,1,22.717,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,19,2,R,A,2903891,1,95.7,,1,34.65,,1,21.792,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,20,2,R,A,2903891,1,105.1,,1,34.696,,1,20.714,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,21,2,R,A,2903891,1,115.1,,1,34.745,,1,19.424,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,22,2,R,A,2903891,1,125.2,,1,34.836,,1,18.528,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,23,2,R,A,2903891,1,135.4,,1,34.869,,1,17.634,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,24,2,R,A,2903891,1,145.5,,1,34.883,,1,16.434,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,25,2,R,A,2903891,1,155.1,,1,34.916,,1,15.545,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,26,2,R,A,2903891,1,165.2,,1,34.945,,1,14.948,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,27,2,R,A,2903891,1,175.3,,1,34.957,,1,14.497,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,28,2,R,A,2903891,1,185.3,,1,34.965,,1,14.044,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,29,2,R,A,2903891,1,194.9,,1,34.979,,1,13.596,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,30,2,R,A,2903891,1,212.3,,1,35.003,,1,13.038,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,31,2,R,A,2903891,1,237.8,,1,35.021,,1,12.381,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,32,2,R,A,2903891,1,263.7,,1,35.025,,1,11.96,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,33,2,R,A,2903891,1,287.8,,1,35.034,,1,11.708,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,34,2,R,A,2903891,1,312.8,,1,35.038,,1,11.395,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
30,35,2,R,A,2903891,1,337.8,,1,35.034,,1,11.079,,1,1,12.566666666666666,89.05,2023-10-01 14:12:02
