N_PROF,N_LEVELS,CYCLE_NUMBER,DATA_MODE,DIRECTION,PLATFORM_NUMBER,POSITION_QC,PRES,PRES_ERROR,PRES_QC,PSAL,PSAL_ERROR,PSAL_QC,TEMP,TEMP_ERROR,TEMP_QC,TIME_QC,LATITUDE,LONGITUDE,TIME
0,0,118,D,A,2902766,1,0.2,2.4,1,32.37203,0.01,1,29.779,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,1,118,D,A,2902766,1,1.1,2.4,1,32.36605,0.01,1,29.798,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,2,118,D,A,2902766,1,2.0,2.4,1,32.36879,0.01,1,29.796,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,3,118,D,A,2902766,1,3.0,2.4,1,32.36696,0.01,1,29.8,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,4,118,D,A,2902766,1,3.9,2.4,1,32.36705,0.01,1,29.801,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,5,118,D,A,2902766,1,4.7,2.4,1,32.36679,0.01,1,29.799,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,6,118,D,A,2902766,1,5.6,2.4,1,32.36697,0.01,1,29.803,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,7,118,D,A,2902766,1,6.9,2.4,1,32.36608,0.01,1,29.804,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,8,118,D,A,2902766,1,8.1,2.4,1,32.36792,0.01,1,29.802,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,9,118,D,A,2902766,1,8.9,2.4,1,32.36693,0.01,1,29.803,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,10,118,D,A,2902766,1,10.0,2.4,1,32.36665,0.01,1,29.803,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,11,118,D,A,2902766,1,15.4,2.4,1,32.42365,0.01,1,29.833,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,12,118,D,A,2902766,1,25.4,2.4,1,32.66544,0.01,1,29.572,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,13,118,D,A,2902766,1,34.9,2.4,1,32.86272,0.01,1,29.06,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,14,118,D,A,2902766,1,45.5,2.4,1,33.06413,0.01,1,28.45,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,15,118,D,A,2902766,1,55.0,2.4,1,32.85007,0.01,1,27.417,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,16,118,D,A,2902766,1,65.0,2.4,1,33.22301,0.01,1,27.407,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,17,118,D,A,2902766,1,75.9,2.4,1,33.75072,0.01,1,27.243,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,18,118,D,A,2902766,1,85.4,2.4,1,34.22789,0.01,1,26.445,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,19,118,D,A,2902766,1,95.9,2.4,1,34.49436,0.0115,1,25.26,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,20,118,D,A,2902766,1,105.1,2.4,1,34.61931,0.01236,1,23.929,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,21,118,D,A,2902766,1,115.5,2.4,1,34.71602,0.0112,1,22.323,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,22,118,D,A,2902766,1,126.4,2.4,1,34.78323,0.0105,1,20.869,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,23,118,D,A,2902766,1,135.7,2.4,1,34.80491,0.01,1,19.752,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,24,118,D,A,2902766,1,145.6,2.4,1,34.84002,0.01,1,18.75,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,25,118,D,A,2902766,1,155.3,2.4,1,34.87325,0.01,1,18.137,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,26,118,D,A,2902766,1,165.5,2.4,1,34.88829,0.01,1,17.597,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,27,118,D,A,2902766,1,175.6,2.4,1,34.90802,0.01,1,16.811,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,28,118,D,A,2902766,1,186.3,2.4,1,34.93295,0.01,1,16.025,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,29,118,D,A,2902766,1,195.7,2.4,1,34.95286,0.01,1,15.237,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
0,30,118,D,A,2902766,1,212.3,2.4,1,34.97879,0.01,1,14.276,0.002,1,1,15.489,86.705,2023-04-05 23:34:34
