N_PROF,N_LEVELS,CYCLE_NUMBER,DATA_MODE,DIRECTION,PLATFORM_NUMBER,POSITION_QC,PRES,PRES_ERROR,PRES_QC,PSAL,PSAL_ERROR,PSAL_QC,TEMP,TEMP_ERROR,TEMP_QC,TIME_QC,LATITUDE,LONGITUDE,TIME
0,0,142,D,A,2902772,1,0.3,2.4,1,32.43847,0.01,1,27.911,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,1,142,D,A,2902772,1,0.9,2.4,1,32.42876,0.01,1,27.933,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,2,142,D,A,2902772,1,2.4,2.4,1,32.42633,0.01,1,27.94,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,3,142,D,A,2902772,1,3.4,2.4,1,32.43067,0.01,1,27.932,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,4,142,D,A,2902772,1,4.3,2.4,1,32.42577,0.01,1,27.937,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,5,142,D,A,2902772,1,5.3,2.4,1,32.42786,0.01,1,27.941,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,6,142,D,A,2902772,1,6.3,2.4,1,32.43004,0.01,1,27.944,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,7,142,D,A,2902772,1,7.2,2.4,1,32.42596,0.01,1,27.943,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,8,142,D,A,2902772,1,8.2,2.4,1,32.42726,0.01,1,27.945,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,9,142,D,A,2902772,1,9.3,2.4,1,32.42762,0.01,1,27.938,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,10,142,D,A,2902772,1,10.4,2.4,1,32.42901,0.01,1,27.946,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,11,142,D,A,2902772,1,15.6,2.4,1,32.4277,0.01,1,27.945,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,12,142,D,A,2902772,1,24.9,2.4,1,32.4538,0.01,1,27.988,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,13,142,D,A,2902772,1,35.0,2.4,1,32.79125,0.01,1,28.331,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,14,142,D,A,2902772,1,46.1,2.4,1,33.07062,0.01,1,28.289,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,15,142,D,A,2902772,1,55.6,2.4,1,33.79564,0.01176,1,28.199,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,16,142,D,A,2902772,1,64.9,2.4,1,34.10357,0.01169,1,26.729,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,17,142,D,A,2902772,1,75.4,2.4,1,34.3918,0.01,1,25.128,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,18,142,D,A,2902772,1,86.0,2.4,1,34.49984,0.01194,1,24.12,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,19,142,D,A,2902772,1,94.9,2.4,1,34.63797,0.01297,1,22.794,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,20,142,D,A,2902772,1,105.9,2.4,1,34.76092,0.01111,1,21.026,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,21,142,D,A,2902772,1,115.4,2.4,1,34.81395,0.01025,1,19.797,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,22,142,D,A,2902772,1,125.5,2.4,1,34.84055,0.01,1,18.64,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,23,142,D,A,2902772,1,135.2,2.4,1,34.87912,0.0104,1,17.598,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,24,142,D,A,2902772,1,145.0,2.4,1,34.90751,0.01,1,16.493,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,25,142,D,A,2902772,1,155.0,2.4,1,34.93152,0.01,1,15.581,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,26,142,D,A,2902772,1,165.2,2.4,1,34.94594,0.01,1,15.151,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,27,142,D,A,2902772,1,175.4,2.4,1,34.96841,0.01,1,14.552,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,28,142,D,A,2902772,1,185.4,2.4,1,34.98038,0.01,1,14.033,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,29,142,D,A,2902772,1,195.2,2.4,1,34.9906,0.01,1,13.646,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,30,142,D,A,2902772,1,212.2,2.4,1,35.0083,0.01,1,13.132,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,31,142,D,A,2902772,1,237.5,2.4,1,35.02774,0.01,1,12.461,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,32,142,D,A,2902772,1,262.3,2.4,1,35.0321,0.01,1,11.968,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,33,142,D,A,2902772,1,289.2,2.4,1,35.03809,0.01,1,11.631,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,34,142,D,A,2902772,1,312.6,2.4,1,35.03893,0.01,1,11.345,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,35,142,D,A,2902772,1,337.7,2.4,1,35.03878,0.01,1,11.083,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,36,142,D,A,2902772,1,362.9,2.4,1,35.0387,0.01,1,10.863,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,37,142,D,A,2902772,1,387.8,2.4,1,35.03669,0.01,1,10.669,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,38,142,D,A,2902772,1,412.7,2.4,1,35.03459,0.01,1,10.479,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,39,142,D,A,2902772,1,437.8,2.4,1,35.03373,0.01,1,10.315,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,40,142,D,A,2902772,1,463.1,2.4,1,35.0316,0.01,1,10.113,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,41,142,D,A,2902772,1,488.1,2.4,1,35.02959,0.01,1,9.946,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,42,142,D,A,2902772,1,513.0,2.4,1,35.02671,0.01,1,9.784,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
0,43,142,D,A,2902772,1,537.9,2.4,1,35.02364,0.01,1,9.591,0.002,1,1,15.272,89.042,2024-01-04 01:32:21
